title,text
금융위 MG손보 대주주 변경 승인…자베즈파트너스 → JC파트너스 운용사 변경,MG손해보험 사옥 전경. 스포츠서울 권오철 기자 금융위원회는 1일 정례회의를 열고 MG손해보험의 대주주 변경 승인안을 의결했다. 이에 따라 MG손보의 GP운용사는 기존 자베즈파트너스에서 JC파트너스로 변경된다. MG손보는 대주주 변경 승인일로부터 15일 이내에 예정된 자본확충을 마무리한다는 계획이다. 이는 지난해 6월 경영개선명령에 따른 경영개선계획 조건부승인 조건으로 MG손보는 새마을금고 300억원 우리은행 200억원 에큐온캐피탈 200억원 리치앤코 200억원 아주캐피탈 100억원 등 지분출자 투자와 1000억원의 리파이낸싱 등 총 2000억원 규모의 자본확충을 빠르게 실시할 방침이다. 자본확충 완료 후 MG손보의 RBC비율은 200% 가까이 상승할 전망이다. MG손보는 안정적인 자본적정성을 바탕으로 신임 박윤식 대표이사의 지휘 아래 새로운 도약을 시작할 수 있게 된다. MG손보는 앞으로 고객 신뢰도 제고에 힘쓰는 한편 2019년 당기순이익 78억원을 기록하며 ‘3년 연속 흑자 달성’에 성공한 저력과 높아진 RBC비율을 통해 영업력과 순익 확대에 집중할 계획이다. MG손보 관계자는 “원활환 자본확충을 위한 GP변경이 완료된 만큼 이제부터는 기한내 자본확충에 최선을 다해 적기시정조치에서 탈피하고 새로운 도약을 시작할 것”이라고 말했다.
공채사원 18년 만에… 42세 김세호 쌍방울 대표 파격 발탁,기획·마케팅 등 경력 쌓은 정통 ‘쌍방울 맨’ 서울신문 ‘창립 57년 젊은 감각으로 리셋’ 의지 반영 金 “내의 시장 석권 과거 명성 되찾을 것 ” 김세호 쌍방울 신임 대표 쌍방울의 신임 대표에 신입사원 출신의 42세 김세호 부사장이 파격 발탁됐다. 공채 출신 직원이 쌍방울의 대표가 된 사례는 이번이 처음이다. 김 신임대표는 2003년 쌍방울 공채 신입사원으로 입사해 18년 동안 기획과 영업 마케팅 매장 관리 등의 부문에서 경력을 쌓은 정통 ‘쌍방울 맨’이다. 김 신임 대표는 차장으로 재직했던 지난해 사내 전 직원 대상으로 열린 ‘내가 쌍방울의 경영진이라면 ’이라는 공모전에서 우승해 부사장으로 특별 승진했다. 쌍방울 관계자는 “당시 가장 구체적이고 실현 가능성 높은 미래 비전을 제시한 김 신임 대표가 이사회의 높은 지지를 받아 파격적인 승진이 이뤄졌다”고 전했다. MobileAdNew center 쌍방울은 “올해 창립 57주년을 맞는 쌍방울이 낡은 이미지를 탈피해 젊은 감각으로 ‘리셋’ 한다는 의지를 반영했다”고 설명했다. 전임 대표 방용철 52 쌍방울그룹 부회장은 이 회사 최대주주인 광림의 신임 대표로 자리를 옮겼다. 김 신임 대표는 “전임 대표들에 비해 상대적으로 일찍 대표 자리에 올라 어깨가 무겁다”며 “‘젊은 쌍방울’의 모습을 보이기 위해 노력하겠다”고 말했다. 이어 “지난해 쌍방울그룹의 관계사에 편입된 남영비비안과 시너지 효과를 최대한으로 살려 남녀 내의 시장을 석권한 과거 명성을 되찾겠다”고 밝혔다.
美 매우 고통스러운 2주…뉴욕증시 하락 출발,뉴욕증시 출발 전날 트럼프의 2주 고비설 여파 美 코로나19 확진자 19만명·사망자 3500명 육박 사진 AFP 뉴욕 이데일리 이준기 특파원 미국 뉴욕증시가 2분기 첫 거래를 내림세로 시작했다. 1일 오전 10시22분 현지시간 현재 뉴욕증권거래소 NYSE 에서 다우존스 30 산업평균지수는 전 거래일보다 591.14포인트 2.70% 떨어진 2만1326.02에 거래 중이다. 스탠더드앤드푸어스 S P 500지수와 기술주 중심의 나스닥 지수도 각각 77.18포인트 2.99% 와 186.87포인트 2.43% 내린 2507.41과 7513.23 수준에서 움직이고 있다. 전날 코로나19 사태에 대한 도널드 트럼프 미 대통령의 섬뜩한 발언이 영향을 미친 것으로 보인다. 트럼프 대통령은 전날 장 마감 후 진행한 기자회견에서 “매우 매우 고통스러운 2주가 될 것”이라고 언급한 바 있다. 미 존스홉킨스대학의 집계에 따르면 미국 내 코로나19 확진자는 19만명에 육박하고 있다. 사망자는 3500명에 달한다.
美 뉴욕증시 2분기 시작부터 급락하며 출발,미국 뉴욕증권거래소 인근의 월스트리트 거리 표지판. AFP 연합뉴스 미국 뉴욕증시 주요 3대 지수가 모두 2분기 첫날부터 급락하며 출발했다. 1일 현지 시각 다우 지수는 오전 10시 20분 현재 전날보다 600.78포인트 2.74% 하락한 2만1316.38에 거래되고 있다. S P500지수는 80.59포인트 3.12% 내린 2504.00에 기술주 중심의 나스닥 지수는 195.47포인트 2.54% 떨어진 7504.63에 각각 거래되고 있다. 투자자들은 미국 내 코로나 바이러스 확산에 주목하고 있다. 도널드 트럼프 미 대통령의 발언도 투자심리에 영향을 미친 것으로 보인다. 트럼프 대통령은 전날 오후 회견에서 “매우 매우 고통스러운 2주가 될 것”이라고 했다.
공항 면세점 대기업도 임대료 20%↓...영화관도 지원,손님 뚝 공항 면세점 대기업도 임대료 20%↓ 관광객 급감 직격탄 면세점 업계 지원도 강화 통신사 대리점 등 4 200억 지원…소상공인 통신요금 감면 앵커 코로나19로 손님이 뚝 끊긴 공항 면세점에 정부가 임대료를 추가로 낮추기로 했습니다. 기존에 혜택받던 중소기업에 더해 대기업과 중견기업도 적용대상에 포함됐습니다. 또 영화관과 통신 대리점 등의 지원방안도 함께 나왔습니다. 김평정 기자입니다. 기자 서울 시내 대형 쇼핑몰 안에 있는 영화관입니다. 간간이 마스크를 쓴 손님이 지나가긴 하지만 매표소와 자동발권기 팝콘을 파는 매점이 모두 텅텅 비다시피 했습니다. 유다빈 서울 방배동 사람들이 예상보다는 많긴 해도 평소보다 적으니까 사람 없이 여유롭게 영화를 볼 수 있을 것 같아서 그건 좀 좋은 것 같습니다. 이처럼 코로나19의 직격탄을 맞은 영화관은 지난달 관객 수가 1년 전 같은 달의 10분의 1 수준까지 추락했습니다. 이 때문에 경영난이 심각해진 영화 업계를 위해 정부가 영화관 입장료에서 3%를 가져오던 영화발전기금 부과금을 한시적으로 감면해 주기로 했습니다. 한 해 평균 540억 원을 내야 하는 부담이 당분간 덜어질 것으로 기대됩니다. 영화관과 마찬가지로 손님이 뚝 끊긴 면세점 업계에 대한 지원도 강화됩니다. 기존에 중소기업과 소상공인의 공항 내 상업시설 임대료를 25% 낮춰주던 것을 50%까지로 두 배 더 내려주고 대기업과 중견기업도 새로 20% 임대료를 인하해주기로 해 롯데와 신세계 신라 등의 대형 면세점 업체도 혜택을 받게 됐습니다. 홍남기 부총리 겸 기획재정부 장관 임대료 감면 적용대상에서 제외되었던 대·중견기업의 임대료에 대해서도 최대 6개월 신규로 20% 감면하고자 합니다. 그러나 20% 낮춘 임대료도 대기업 3곳 면세점의 최근 한 달 매출액보다 많은 것으로 추산돼 추가 지원이 필요하다는 요구도 나오고 있습니다. 이와 함께 정부는 통신사 대리점 등에 긴급자금 4 200억 원을 지원하고 코로나19 확진자 방문 등으로 피해를 본 소상공인 3만 명에게 한 달 통신요금을 감면하기로 했습니다. YTN 김평정 pyung ytn.co.kr 입니다.
뉴욕증시 코로나19 2주 최대고비 전망에 급락 출발,다우존스30 산업평균 지수 4% 하락 서울 뉴시스 권성근 기자 뉴욕증시가 4월 첫날 급락세로 장을 출발했다. 도널드 트럼프 미국 대통령이 31일 현지시간 미국의 신종 코로나바이러스 감염증 코로나19 확산 추세와 관련해 향후 2주가 매우 힘든 시기가 될 것으로 예측하면서 증시에도 부정적인 영향을 미쳤다. 백악관 전문가들은 이날 사회적 거리두기가 실행돼도 미국에서 10만명에서 최대 24만명의 사망자가 발생할 것으로 예측하며 경각심을 불러일으켰다. 마켓워치에 따르면 1일 뉴욕증권거래소 NYSE 에서 우량주 위주의 다우존스30 산업평균 지수는 889포인트 4% 하락한 2만1053에 장을 시작했다. 대형주 위주 스탠더드앤드푸어스 S P 500 지수는 3.7% 내린 2488에 거래되고 있다. 기술주 위주인 나스닥 지수는 3.1%내린 7469에 장을 시작했다.
라임 자금 투입된 기업 주가조작 수십억 챙긴 일당 구속,서울남부지방법원 연합뉴스TV 제공 서울 연합뉴스 김주환 임성호 기자 라임자산운용 펀드 자금이 투입된 상장사의 주가를 조작해 거액을 챙긴 일당이 구속됐다. 서울남부지법 성보기 영장전담 부장판사는 1일 자본시장법 위반 혐의를 받는 이모 씨 등 4명에 대해 증거 인멸과 도주 우려가 있다 며 검찰이 청구한 구속영장을 발부했다. 이들은 라임의 펀드 자금이 투자된 E상장사의 주식을 미리 사둔 뒤 주가를 조작해 수십억 원을 챙긴 혐의를 받는다. 검찰은 해당 상장사에 라임 자금이 얼마나 투입됐는지 이들이 라임이나 해당 피해 상장사와 어떤 관계인지 등은 밝히지 않았다. 수사당국은 최근 라임 사태와 관련한 피의자들의 신병 확보와 관련 기업 압수수색 등 수사에 속도를 내고 있다. 검찰은 잠적한 이종필 전 라임자산운용 부사장에게 의약품 등을 전달하는 등 도피를 도운 2명을 범인도피죄로 구속했다. 또 라임 펀드의 부실을 알면서도 자사 고객에게 펀드 수백억원어치를 팔아치운 신한금융투자 전 임원도 사기·자본시장법 위반 등 혐의로 최근 구속했다.
테라펀딩 업계 최초 1% 초저금리 소상공인 특별주택담보대출 출시,스포츠서울 권오철 기자 P2P 금융사 테라펀딩이 신종 코로나바이러스 감염증 코로나19 으로 인해 자금난을 겪고 있는 소상공인을 위해 1% 초저금리의 주택담보대출 상품을 출시한다고 1일 밝혔다. 테라펀딩은 현재 기준 시중에서 찾을 수 있는 가장 낮은 수준의 대출 금리로 대출자 수수료 또한 전액 테라에서 부담한다. 인당 1000만원 2000만원 한도로 신청할 수 있고 대출기간은 6개월이다. 투자자 입장에서의 매력도 상당하다. 테라펀딩은 원활한 투자자 모집을 위해 기본 대출 금리 1%에 테라펀딩이 부담하는 리워드 5%를 더해 연이율 6%의 상품으로 설계했다. 또한 연 1.2%의 투자자 플랫폼 이용 수수료까지 면제돼 실수익률은 더욱 높다. 투자자 입장에서는 일반 P2P상품과 거의 동일한 투자 수익률을 얻으면서 동시에 소상공인도 도울 수 있는 셈이다. 양태영 테라펀딩 대표는 “코로나19로 인해 모두가 힘든 상황에서 특히 당장의 생활을 유지하는 데 큰 타격을 입으신 분들께 조금이나마 도움이 되고자 이 상품을 출시하게 됐다. 금융 사각지대를 해소하고 사회 곳곳에 산적한 다양한 문제를 해결하고자 하는 기업 미션 실현의 일환이기도 하다”라고 말했다.
오상헬스케어 코로나19 진단키트 러시아·아르헨티나 수출,오상자이엘 자회사인 오상헬스케어가 코로나19 진단키트에 대해 러시아 아르헨티나 등과 대규모 수출계약을 체결했습니다. 러시아와는 250만 명분에 대해 계약을 체결했으며 1차 50만 명분은 이번 주말부터 선적할 예정이며 순차적으로 선적해 나갈 예정입니다. 아르헨티나와는 400만 명분에 대한 계약을 체결하고 아르헨티나 식약처 인증까지 마치고 선적일정을 협의 중입니다. 또한 미국향 1차 5만명 분에 대해 지난주 선적을 진행하였으며 추가로 외교부와 공조를 통해 쿠웨이트 20만 명분에 대한 계약을 체결하였으며 그 외 이집트 인도 등 대사관과도 공급계약 체결 및 계약 수량을 협의 중입니다.
뉴욕증시 하락 출발…다우지수 장초반 900포인트 급락,미국 뉴욕증시가 2분기 첫날부터 하락 출발했다. 우한 코로나 바이러스가 경제에 타격을 입힐 것이라는 우려가 투자심리를 악화시킨 것으로 보인다. 1일 현지시각 뉴욕증시의 다우존스30 산업평균지수는 오전 9시40분 현재 전날보다 664.99포인트 3.03% 하락한 2만1252.17에 거래되고 있다. 다우존스 지수는 개장 직후 900포인트가량 밀렸다가 낙폭을 다소 줄였다. AP 연합뉴스 스탠더드앤드푸어스 S P 500지수는 79.74포인트 3.09% 내린 2504.85에 기술주 중심의 나스닥지수는 189.94포인트 2.47% 떨어진 7510.16에 각각 거래되고 있다. 뉴욕타임스 월스트리트저널 WSJ 은 우한 코로나에 대한 비관적인 예측이 투자심리를 억누르고 있다고 분석했다. 앞서 트럼프 대통령은 전날 오후 회견에서 매우 매우 고통스러운 2주가 될 것 이라고 언급한 바 있다. 백악관 TF 태스크포스 전문가들은 사회적 거리두기가 유지되더라도 10만명에서 24만명의 사망자가 발생할 것 이라고 부정적인 예측을 내놨다. 사회적 거리두기가 없었다면 150만명에서 220만명이 사망할 수 있었다고 분석했다. 안토니우 구테흐스 UN 사무총장도 같은날 전 세계가 2차대전 이후 가장 큰 도전에 직면했다 며 전염병과 그 경제적 파급력은 불안정성을 강화하고 불안을 키우며 갈등을 심화시킬 것 이라고 말했다. 뉴욕타임스에 따르면 증권업계 전문가들은 1분기보다 2분기 증시가 더욱 하락할 수 있다 고 전망했다. 우한 코로나가 확산되면서 1분기 다우지수는 23.2% S P500 지수는 20.0% 밀린 상황이다. 한편 유럽증시도 이날 급락 출발했다. 영국 FTSE100지수는 장초반 전날 대비 4% 이상 하락했고 프랑스 CAC40지수 독일 DAX지수도 3% 이상 내렸다.
